N,P,K,temperature,humidity,ph,rainfall,label
80.20062684778448,56.035316697811375,41.158183150067025,25.461415034792218,81.19751927512826,5.517976308887642,172.74561615335193,rice
80.13183755214175,47.37211430382344,33.54544223409351,22.377063760827,85.7172728288251,5.862692263997686,260.3960862310297,rice
68.56163324060519,53.65419997227163,43.58902272306062,28.078445618844487,84.11030562993665,5.704843530859524,242.0977070816025,rice
86.27767732251829,47.411138746856416,37.191281117635214,29.580197995257347,91.02478495923813,6.42564422595996,265.88351400079137,rice
92.46480611293735,43.9105634530585,39.598009757091326,26.18195862882722,81.69953159441229,6.4181605959832595,179.91429792023968,rice
74.88789968450506,41.942918484408516,36.961593711057226,27.657457388889053,92.63943520326013,6.646211357527234,235.04471079526496,rice
85.77891820642739,43.58882102929529,34.18535836009394,19.58386039911871,78.89292112790518,6.476075791397159,210.37479099907455,rice
72.74992579923094,53.78810814554754,45.01849377670995,25.631984471226883,92.41658455962023,6.466352069342417,191.33943114794297,rice
91.80917812766285,51.88248984842474,35.49939896550142,23.085158092579924,84.37505143029716,6.069531901343808,191.89378271081006,rice
72.50144387944857,40.3120879579871,35.97196415821256,26.060931570093725,85.20282927319387,5.79548693952799,211.62431158709504,rice
74.46064115320002,51.4106521889211,42.09104123454946,27.196647721571175,89.5212343528937,6.123399229930677,192.27441066858634,rice
70.69054011509886,50.44578919678866,36.40562483013746,29.594759821971476,84.67709967075476,5.621889609453091,192.27052141672044,rice
74.18049173168092,55.378456753026754,44.45675711063105,27.17841600530932,85.43511288971347,5.710601468524611,257.84230484862826,rice
79.58204972105659,50.8877047469397,41.1660768402759,23.008608865589807,89.68989874805538,6.166619882836275,260.8432896245906,rice
90.10604806726649,42.79289518114559,41.994434299638876,27.288566260785704,92.00612968206478,6.125973857617186,237.06972651822758,rice
96.38739292993496,54.70058703004546,41.038616997249626,23.117669846547038,86.54710068848655,6.429706185731687,212.46082604535542,rice
82.4981563781989,57.56508621042915,38.21108407227836,24.579392151152838,93.76949431866103,6.514440701276486,249.82123317185597,rice
